id,chain_id,species,pdb,domain,chain,length,abundance,evorate,conden,ppi,dostox,dN,dS,mutant,other_id,uniprot
0,0,0,1a3w.A,1A3W,A,2.6919651027673606,3.809963521714014,,0.5798750174111491,2.3096301674258988,0.547,,,0,,
1,1,0,1a4e.A,1A4E,A,2.6884198220027105,1.1398790864012365,-1.1784864715952268,0.5523761552525626,0.6989700043360189,-0.76,,,0,,
2,2,0,1afw.A,1AFW,A,2.591064607026499,,,0.6042800664521043,0.6989700043360189,0.837,,,0,,
3,3,0,1aky.A,1AKY,A,2.3384564936046046,3.4347285417797577,-1.2321023839819094,0.6119037841015179,0.7781512503836436,0.418,,,0,,
4,4,0,1ap8.A,1AP8,A,2.3283796034387376,2.4983105537896004,-2.0268721464003012,0.6386988657685331,1.806179973983887,,,,0,,
5,5,0,1asy.A,1ASY,A,2.690196080028514,,-1.3840499483435988,0.5523396338311979,1.2041199826559248,,,,0,,
6,6,0,1aua.A,1AUA,A,2.4712917110589387,3.27207378750001,-1.4034029043735399,0.5609223792574705,1.0,0.254,,,0,,
7,7,0,1b54.A,1B54,A,2.361727836017593,2.037426497940624,-0.7286231281059254,0.5861933356985418,0.7781512503836436,,,,0,,
8,8,0,1bob.A,1BOB,A,2.48572142648158,,-0.6673595896125374,0.5580362135762877,1.568201724066995,0.181,,,0,,
9,9,0,1cc8.A,1CC8,A,1.8573324964312685,,,0.5228744023138037,-1,,,,0,,
10,10,0,1cca.A,1CCA,A,2.4638929889859074,2.173186268412274,-0.8948305720006683,0.6483795293954381,1.0791812460476249,-0.339,,,0,,
11,11,0,1cfy.A,1CFY,A,2.123851640967086,2.6384892569546374,-1.2464169411070933,0.5510106015735106,0.6989700043360189,,,,0,,
12,12,0,1cg7.A,1CG7,A,1.968482948553935,1.9339931638312424,,0.5086374375758949,1.7558748556724915,0.485,,,0,,
13,13,0,1ci0.A,1CI0,A,2.311753861055754,,-1.1817741063860445,0.5407297923506416,0.3010299956639812,-0.241,,,0,,
14,14,0,1cmx.A,1CMX,A,2.330413773349191,,,0.5526803810533545,0.3010299956639812,-0.102,,,0,,
15,15,0,1cpy.A,1CPY,A,2.6242820958356683,2.9903388547876015,-1.2487208960166578,0.5887085834134098,1.3222192947339193,0.003,,,0,,
16,16,0,1d1q.A,1D1Q,A,2.2013971243204513,1.8898617212581885,-0.9515581964495955,0.5782035511497665,0.7781512503836436,-0.055,,,0,,
17,17,0,1dpj.A,1DPJ,A,2.5171958979499744,,-1.1605219526258015,0.571999816397063,0.9542425094393249,0.45,,,0,,
18,18,0,1dzf.A,1DZF,A,2.3242824552976926,,-1.486782399932061,0.5378442708352534,1.3979400086720377,0.013,,,0,,
19,19,0,1edz.A,1EDZ,A,2.5010592622177517,2.5563025007672873,-1.274905478918531,0.5652691607963564,0.3010299956639812,0.577,,,0,,
20,20,0,1ejb.A,1EJB,A,2.225309281725863,1.8591382972945307,,0.5642753785522703,0.6020599913279624,0.151,,,0,,
21,21,0,1ek0.A,1EK0,A,2.2329961103921536,2.287801729930226,-1.320572103387881,0.557988148224913,0.9542425094393249,-0.552,,,0,,
22,22,0,1eq6.A,1EQ6,A,2.2764618041732443,1.7986506454452689,-0.707743928643524,0.5463575553634142,0.3010299956639812,,,,0,,
23,23,0,1f1g.A,1F1G,A,2.184691430817599,4.061866972138563,-1.1877553031996309,0.5619476714170958,0.9030899869919435,,,,0,,
24,24,0,1f5m.A,1F5M,A,2.24551266781415,1.7626785637274363,,0.5640502787680273,0.7781512503836436,0.822,,,0,,
25,25,0,1f60.A,1F60,A,2.6434526764861874,0.92272545799326,-1.5816987086802545,0.5668615619192423,2.90687353472207,-0.523,,,0,,
26,26,0,1f7u.A,1F7U,A,2.7831886910752575,2.6599162000698504,-1.2915790998652872,0.5966630593987416,0.9030899869919435,0.154,,,0,,
27,27,0,1f89.A,1F89,A,2.432969290874406,2.0,-1.1850868187249262,0.5894580904649798,0.0,,,,0,,
28,28,0,1fi4.A,1FI4,A,2.5921767573958667,2.481442628502305,-1.1662156253435212,0.5836294530485775,0.6989700043360189,,,,0,,
29,29,0,1fpw.A,1FPW,A,2.278753600952829,2.2013971243204513,-1.5800442515102422,0.6127838567197355,0.3010299956639812,,,,0,,
30,30,0,1g0u.1,1G0U,1,2.367355921026019,2.575187844927661,-1.1694113313148558,0.5459253293558428,1.0791812460476249,1.227,,,0,,
