ORF	CAI	dS	dN		dN/dS		dS_adjusted	dN/dS_adjusted
YAL002W	0.27325	1.391	0.170400412	0.122502093	1.94297	0.087701
YAL005C	0.7435	0.5935	0.024600063	0.041449137	2.09537	0.0117402
YAL007C	0.386	1.147	0.097299938	0.084829937	1.92672	0.0505003
YAL008W	0.2705	1.2749	0.209299481	0.164169332	1.82131	0.114917
YAL009W	0.25975	1.0385	0.063800132	0.061434889	1.5632	0.0408138
YAL010C	0.24825	1.4399	0.173900353	0.120772521	1.94137	0.0895761
YAL011W	0.278	1.8543	0.213199887	0.114975941	2.41586	0.0882501
YAL012W	0.528	0.9632	0.03169998	0.032911109	2.02976	0.0156176
YAL014C	0.23825	1.1394	0.241700241	0.212129402	1.62067	0.149136
YAL015C	0.271	1.3327	0.205999108	0.154572753	1.88012	0.109567
YAL016W	0.32825	1.0115	0.03870015	0.038260158	1.67457	0.0231105
YAL018C	0.2895	1.738	0.165800053	0.095397039	2.32279	0.0713797
YAL019W	0.29925	1.5887	0.092500201	0.058223831	2.19319	0.0421761
YAL020C	0.17175	1.6941	0.315499881	0.186234509	2.04104	0.154578
YAL021C	0.2715	1.3596	0.071599971	0.052662526	1.90803	0.0375256
YAL022C	0.28825	1.7899	0.133700246	0.074697048	2.37217	0.056362
YAL023C	0.38375	1.165	0.07590023	0.065150412	1.94018	0.0391202
YAL024C	0.26075	1.6876	0.17430042	0.103283017	2.21432	0.0787151
YAL025C	0.38075	1.4428	0.064900166	0.044982094	2.21192	0.0293411
YAL027W	0.23975	1.5989	0.194300481	0.121521346	2.0832	0.0932702
YAL028W	0.24875	1.806	0.345999599	0.191583388	2.30848	0.149882
YAL031C	0.26625	1.461	0.186000526	0.127310422	1.99883	0.0930547
YAL032C	0.254	1.4178	0.163900046	0.115601668	1.93088	0.0848836
YAL033W	0.2385	1.373	0.140399968	0.102257806	1.85477	0.0756967
YAL034C	0.258	1.3307	0.148099911	0.11129474	1.85186	0.0799736
YAL034W-A	0.22525	1.5622	0.183300443	0.117334812	2.01721	0.0908683
YAL035W	0.4875	1.144	0.09850003	0.086101425	2.12875	0.0462713
YAL036C	0.388	1.2937	0.029100021	0.022493639	2.07746	0.0140075
YAL038W	0.892	0.2165	0.020399968	0.09422618	2.01834	0.0101073
YAL039C	0.2365	1.5987	0.144199965	0.090198264	2.07643	0.0694461
YAL040C	0.33375	1.1138	0.120800399	0.108457891	1.78798	0.0675625
YAL041W	0.26275	1.5787	0.088000132	0.05574215	2.10946	0.0417169
YAL042W	0.2575	1.6708	0.122299924	0.073198423	2.19095	0.0558205
YAL043C	0.266	1.8472	0.15129994	0.08190772	2.38452	0.0634509
YAL044C	0.29225	1.6281	0.074800144	0.045943212	2.21845	0.0337173
YAL044W-A	0.255	1.7772	0.098799964	0.055593047	2.2923	0.0431008
YAL046C	0.27375	1.1357	0.170200369	0.149863845	1.68868	0.100789
YAL047C	0.28475	1.4305	0.244400562	0.170849746	2.0057	0.121853
YAL048C	0.27875	1.4753	0.058800129	0.039856388	2.03838	0.0288465
YAL049C	0.3095	1.6727	0.164499971	0.098343977	2.29789	0.0715874
YAL051W	0.273	1.5193	0.121199926	0.079773531	2.07076	0.0585292
YAL053W	0.31675	1.6301	0.074500112	0.045702786	2.26994	0.0328203
YAL054C	0.3695	1.3837	0.03550008	0.025655908	2.13009	0.016666
YAL055W	0.23275	1.9904	0.448902106	0.225533614	2.46056	0.182439
YAL058W	0.27175	1.4974	0.325701613	0.217511429	2.04634	0.159163
YAL059W	0.32725	1.4717	0.262400764	0.178297726	2.13275	0.123034
YAL060W	0.3655	1.4258	0.106699929	0.07483513	2.16411	0.0493043
YAL061W	0.26725	1.7385	0.081800284	0.047052219	2.27835	0.0359033
